iter	Accuracy	Logloss
78	0.9240342585	0.2427757435
79	0.9241943976	0.2412410544
80	0.925821074	0.2393768469
81	0.926188424	0.2381264623
82	0.9267394489	0.2369416931
83	0.928940686	0.2348138641
84	0.929050891	0.2333308766
85	0.929234566	0.2320347423
86	0.929234566	0.2318273306
87	0.9293815059	0.2304844109
88	0.9295284459	0.2296332162
89	0.9296753859	0.2277471074
90	0.9306172966	0.2266865458
91	0.9325011179	0.2248736157
92	0.93473909	0.2235730433
93	0.934775825	0.2220439165
94	0.9362188264	0.2199892657
95	0.9370269963	0.2182696628
96	0.9372841413	0.2175914359
97	0.9379821062	0.2159226724
98	0.9379086362	0.2147062215
99	0.9399026625	0.2137966606
100	0.9403067474	0.2124517606
101	0.9403802174	0.2116543803
102	0.9402700124	0.210568706
103	0.9404904224	0.20992857
104	0.9413588631	0.2091552446
105	0.941762948	0.2081686892
106	0.942130298	0.2069089558
107	0.942240503	0.2059248521
108	0.942203768	0.2042715157
109	0.942277238	0.2033204154
110	0.9424241779	0.2024154066
111	0.9426078529	0.2010010453
112	0.9427547929	0.2004604752
113	0.9428282629	0.1995743351
114	0.9431956128	0.1977616173
115	0.9432690828	0.1970620849
116	0.9443211985	0.1955922549
117	0.9464621648	0.1941581257
118	0.9464988998	0.1930907991
119	0.9467560447	0.1926824956
120	0.9470866597	0.1911372096
121	0.9481755103	0.1906358958
122	0.9486163303	0.1897938407
123	0.9488367402	0.1889042507
124	0.9480785045	0.1879027559
125	0.9502562058	0.1855075398
126	0.9502194708	0.1847975796
127	0.9508807008	0.1837114975
128	0.9511011107	0.1827515755
129	0.9515051957	0.182175644
130	0.9517990756	0.1812286025
131	0.9518358106	0.1808650134
132	0.9519460156	0.1802702531
133	0.9520562206	0.179894531
134	0.9520562206	0.1794246023
135	0.9521664256	0.1792097405
136	0.9524603055	0.178408558
137	0.9530113304	0.1774875725
138	0.9551890317	0.1754264983
139	0.9557033217	0.1739731941
140	0.9562176116	0.1733835062
141	0.9568289073	0.1722860617
142	0.957587143	0.1710871452
143	0.957954493	0.1702063457
144	0.9581014329	0.1694906094
145	0.9590800786	0.1682783152
146	0.9591535486	0.167627573
147	0.9595943685	0.1669466061
148	0.9596678385	0.166443996
149	0.9600719235	0.1653341056
150	0.9602555984	0.1648494281
151	0.9602923334	0.1641049219
152	0.9605127434	0.1633503297
153	0.9606596834	0.1626211099
154	0.9609535633	0.1618844546
155	0.9609902983	0.1614679238
156	0.9615413232	0.1599108556
157	0.9612474433	0.1593138551
158	0.9615045882	0.1588130706
159	0.9617617332	0.158672974
160	0.9618352032	0.1579956443
161	0.9619821432	0.157693627
162	0.9619454082	0.157085594
163	0.9627903131	0.1555034388
164	0.963047458	0.1547147084
165	0.963010723	0.1536847914
166	0.963084193	0.1527551612
167	0.963267868	0.1520205492
168	0.963341338	0.1517749791
169	0.963488278	0.1509462364
170	0.963341338	0.1504006229
171	0.9637454229	0.1494028044
172	0.9642964478	0.1483114365
173	0.9643331828	0.1476680158
174	0.9645535928	0.1469184269
175	0.9647005328	0.1464711954
176	0.9649209427	0.1461031982
177	0.9649576777	0.1457237186
178	0.9665476191	0.145221971
179	0.9668414991	0.1443310378
180	0.9668047641	0.1439235262
181	0.9669149691	0.1429691501
182	0.967172114	0.14213319
183	0.967282319	0.1414482044
184	0.967502729	0.1405742064
185	0.9677598739	0.1400293845
186	0.9679802839	0.1393722205
187	0.9684945738	0.1383652074
188	0.9685680438	0.1372202985
189	0.9687517188	0.1366222757
190	0.9693762137	0.1356780007
191	0.9694129487	0.1348425286
192	0.9697068287	0.1341650169
193	0.9697068287	0.1333132417
194	0.9697802986	0.132595985
195	0.9703313236	0.1315528853
196	0.9707354085	0.1306121305
197	0.9709190835	0.1300873938
198	0.9709190835	0.1295497657
199	0.9708456135	0.1291736067
200	0.9709558185	0.1283710373
201	0.9712129634	0.1278613367
202	0.9711762284	0.1274727206
203	0.9712496984	0.1266171995
204	0.9714333734	0.126284798
205	0.9715068434	0.1258446865
206	0.9719109283	0.1251406366
207	0.9721313383	0.1246449133
208	0.9722415433	0.1239228285
209	0.9722782783	0.1233140669
210	0.9724986882	0.1229058321
211	0.9725354232	0.1222274247
212	0.9731231832	0.1213594119
213	0.9732333881	0.1206660738
214	0.9733435931	0.1199158001
215	0.9733435931	0.1193254981
216	0.9736007381	0.1187774742
217	0.973931353	0.1180267835
218	0.974115028	0.1174016739
219	0.974115028	0.1168066531
220	0.974482378	0.1163724733
221	0.9749599329	0.1156312228
222	0.9749599329	0.1149146857
223	0.9752538128	0.1143834402
224	0.9757313678	0.1136084964
225	0.9757681028	0.1128322703
226	0.9763191277	0.1119635604
227	0.9764293327	0.1114543904
228	0.9765762726	0.1108546041
229	0.9765762726	0.1103755795
230	0.9767599476	0.1099099785
231	0.9769436226	0.1092331887
232	0.9769803576	0.1086654124
233	0.9769068876	0.108313588
234	0.9774579125	0.1076385552
235	0.9774946475	0.1069592522
236	0.9778987324	0.1064392042
237	0.9781926124	0.1056632464
238	0.9790243181	0.1051033191
239	0.9791712581	0.1047071121
240	0.9791345231	0.1042317524
241	0.979575343	0.1035770231
242	0.979942693	0.1028273834
243	0.9800161629	0.1022495197
244	0.9803100429	0.1014700155
245	0.9804937179	0.1008141716
246	0.9804937179	0.1002884666
247	0.9804937179	0.09984617979
248	0.9805671879	0.09937916508
249	0.9807875978	0.0987723058
250	0.9807875978	0.09832112535
251	0.9810080078	0.09792544781
